X,Y,ogc_fid,fid,osm_id,code,fclass,name
16.9551819,51.1196824,33,48,"410701278",5602,railway_halt,Wrocław Nowy Dwór
16.9747674,51.1111407,34,49,"410701279",5602,railway_halt,Wrocław Muchobór
16.0228244,50.7852469,35,50,"412258495",5601,railway_station,Kamienna Góra
16.4714106,51.4044231,36,51,"413329406",5601,railway_station,Małowice Wołowskie
17.1231438,51.0295633,37,52,"413338538",5601,railway_station,Święta Katarzyna
17.032825,50.9257881,38,53,"413351232",5602,railway_halt,Węgry
17.0602369,50.7842124,39,54,"413398658",5601,railway_station,Strzelin
17.0495813,50.9834219,40,55,"413567246",5601,railway_station,Żórawina
16.2806898,50.7433935,41,56,"418127386",5601,railway_station,Wałbrzych Główny
16.2017185,50.7503794,42,57,"420072866",5601,railway_station,Boguszów-Gorce
16.1672349,50.7623764,43,58,"420072902",5601,railway_station,Boguszów-Gorce Zachód
16.6646451,51.1905017,44,59,"430419516",5602,railway_halt,Przedmoście Święte
16.9265914,50.9742632,45,60,"438208370",5601,railway_station,Kobierzyce
15.2935413,51.1113578,46,61,"459395485",5601,railway_station,Lubań Śląski
15.2998556,51.1920636,47,62,"484724571",5602,railway_halt,Gierałtów
15.3891682,51.2546842,48,63,"484742029",5601,railway_station,Zebrzydowa
15.6800731,51.2860811,49,64,"484882007",5602,railway_halt,Tomaszów Bolesławiecki
17.0299488,50.7284605,50,65,"487092286",5601,railway_station,Biały Kościół
17.0301377,50.6630769,51,66,"487097036",5601,railway_station,Henryków
16.9467628,50.5634447,52,67,"496869965",5601,railway_station,Starczów
17.0661283,51.0306885,53,68,"510885402",5601,railway_station,Smardzów Wrocławski
16.2217619,50.747924,54,69,"520501413",5602,railway_halt,Boguszów-Gorce Wschód
15.5186779,50.8326128,55,70,"560772324",5601,railway_station,Szklarska Poręba Górna
15.5914678,50.8517152,56,71,"560773006",5601,railway_station,Piechowice
15.6168746,50.8503917,57,72,"560773042",5602,railway_halt,Piechowice Dolne
16.6549882,50.1445089,58,73,"570690098",5601,railway_station,Międzylesie
